circRNA,miRNA
hsa_circ_0002024,hsa-miR-197-3p
hsa_circ_0001806,hsa-miR-1236-3p
hsa_circ_0032627,hsa-miR-502-5p
hsa_circ_0051240,hsa-miR-637
hsa_circ_0034642,hsa-miR-1205
hsa_circ_0003288,hsa-miR-3918
hsa_circ_0000005,hsa-miR-138-5p
hsa_circ_0092303,hsa-miR-331-3p
hsa_circ_0001801,hsa-miR-224-5p
hsa_circ_0014130,hsa-miR-600
hsa_circ_0009109,hsa-miR-1231
hsa_circ_0009109,hsa-miR-1256
hsa_circ_0089172,hsa-miR-125a-3p
hsa_circ_0070401,hsa-miR-204-3p
hsa_circ_0004846,hsa-miR-1244
hsa_circ_0001206,hsa-miR-1285-5p
hsa_circ_0001946,hsa-miR-135b-5p
hsa_circ_0000495,hsa-miR-488-3p
hsa_circ_0025039,hsa-miR-614
hsa_circ_0088732,hsa-miR-661
hsa_circ_0008039,hsa-miR-515-5p
hsa_circ_0002194,hsa-miR-6873-3p
hsa_circ_0049116,hsa-miR-199a-5p
hsa_circ_0000284,hsa-miR-107
hsa_circ_0003645,hsa-miR-1299
hsa_circ_0005035,hsa-miR-1270
hsa_circ_0003159,hsa-miR-223-3p
hsa_circ_0031242,hsa-miR-188-5p
hsa_circ_0076906,hsa-miR-1305
hsa_circ_0001449,hsa-miR-124-3p
hsa_circ_0001449,hsa-miR-32-5p
hsa_circ_0073237,hsa-miR-1183
hsa_circ_0000092,hsa-miR-338-3p
hsa_circ_0003028,hsa-miR-570-3p
hsa_circ_0014130,hsa-miR-136-5p
hsa_circ_0084171,hsa-miR-370-3p
hsa_circ_0004771,hsa-miR-339-5p
hsa_circ_0056836,hsa-miR-766-3p
hsa_circ_0136959,hsa-miR-361-5p
hsa_circ_0061656,hsa-miR-449a
hsa_circ_0006916,hsa-miR-1322
hsa_circ_0077736,hsa-miR-942-5p
hsa_circ_0007874,hsa-miR-760
hsa_circ_0005239,hsa-miR-188-3p
hsa_circ_0051443,hsa-miR-331-3p
hsa_circ_0070963,hsa-miR-223-3p
hsa_circ_0047688,hsa-miR-125a-3p
hsa_circ_0007623,hsa-miR-297
hsa_circ_0001546,hsa-miR-762
hsa_circ_0007255,hsa-miR-335-5p
hsa_circ_0062389,hsa-miR-103a-3p
hsa_circ_0061825,hsa-miR-326
hsa_circ_0000408,hsa-miR-136-5p
hsa_circ_0004277,hsa-miR-512-5p
hsa_circ_0023706,hsa-miR-146a-5p
hsa_circ_0006168,hsa-miR-384
hsa_circ_0025033,hsa-miR-1179
hsa_circ_0001900,hsa-miR-328-5p
hsa_circ_0023303,hsa-miR-646
hsa_circ_0039411,hsa-miR-136-5p
hsa_circ_0007444,hsa-miR-654-3p
hsa_circ_0006990,hsa-miR-130a-5p
hsa_circ_0000370,hsa-miR-1299
hsa_circ_0000006,hsa-miR-578
hsa_circ_0031594,hsa-miR-1299
hsa_circ_0003204,hsa-miR-370-3p
hsa_circ_0058147,hsa-miR-182-5p
hsa_circ_0026231,hsa-miR-1323
hsa_circ_0132980,hsa-miR-1287-5p
hsa_circ_0001742,hsa-miR-338-3p
hsa_circ_0001667,hsa-miR-125a-5p
hsa_circ_0128332,hsa-miR-615-5p
hsa_circ_0006948,hsa-miR-490-3p
hsa_circ_0037251,hsa-miR-1229-3p
hsa_circ_0012384,hsa-miR-302e
hsa_circ_0001417,hsa-miR-195-5p
hsa_circ_0004680,hsa-miR-613
hsa_circ_0015962,hsa-miR-4683
