circRNA,miRNA
hsa_circ_0044520,hsa-miR-6836-5p
hsa_circ_0044529,hsa-miR-6836-5p
hsa_circ_0001666,hsa-miR-661
hsa_circ_0078767,hsa-miR-661
hsa_circ_0044520,hsa-miR-6798-5p
hsa_circ_0044516,hsa-miR-6753-5p
hsa_circ_0044516,hsa-miR-6798-5p
hsa_circ_0020792,hsa-miR-210-3p
hsa_circ_0001666,hsa-miR-450a-1-3p
hsa_circ_0078767,hsa-miR-450a-1-3p
hsa_circ_0044520,hsa-miR-29b-3p
hsa_circ_0044529,hsa-miR-3619-5p
hsa_circ_0051239,hsa-miR-6867-5p
hsa_circ_0000254,hsa-miR-125a-5p
hsa_circ_0049116,hsa-miR-4685-5p
hsa_circ_0000254,hsa-miR-125b-5p
hsa_circ_0049116,hsa-miR-6741-5p
hsa_circ_0050102,hsa-miR-1303
hsa_circ_0071662,hsa-miR-6748-3p
hsa_circ_0081108,hsa-miR-4640-5p
hsa_circ_0050102,hsa-miR-6514-3p
hsa_circ_0044520,hsa-miR-6132
hsa_circ_0050102,hsa-miR-3929
hsa_circ_0044520,hsa-miR-6762-5p
hsa_circ_0081146,hsa-miR-214-3p
hsa_circ_0081108,hsa-miR-214-3p
hsa_circ_0049116,hsa-miR-6736-5p
hsa_circ_0081108,hsa-miR-665
hsa_circ_0044516,hsa-miR-4733-3p
hsa_circ_0044516,hsa-miR-3619-5p
hsa_circ_0051239,hsa-miR-574-5p
hsa_circ_0051239,hsa-miR-4632-5p
hsa_circ_0050102,hsa-miR-3613-3p
hsa_circ_0007379,hsa-miR-6884-5p
hsa_circ_0001978,hsa-miR-619-5p
hsa_circ_0044529,hsa-miR-3065-3p
hsa_circ_0081108,hsa-miR-3065-3p
hsa_circ_0049116,hsa-miR-1262
hsa_circ_0050102,hsa-miR-485-5p
hsa_circ_0044516,hsa-miR-6762-5p
hsa_circ_0022342,hsa-miR-6756-5p
hsa_circ_0081146,hsa-miR-1286
hsa_circ_0049116,hsa-miR-138-5p
hsa_circ_0081108,hsa-miR-4733-3p
hsa_circ_0081108,hsa-miR-29b-3p
hsa_circ_0089548,hsa-miR-764
hsa_circ_0054633,hsa-miR-4775
hsa_circ_0081108,hsa-miR-29a-3p
hsa_circ_0049116,hsa-miR-6772-5p
hsa_circ_0044520,hsa-miR-29a-3p
hsa_circ_0044529,hsa-miR-29a-3p
hsa_circ_0050102,hsa-miR-1285-3p
hsa_circ_0089548,hsa-miR-1909-3p
hsa_circ_0050102,hsa-miR-143-5p
hsa_circ_0049116,hsa-miR-4433a-3p
hsa_circ_0001946,hsa-miR-1246
hsa_circ_0000215,hsa-miR-369-3p
hsa_circ_0007379,hsa-miR-3929
hsa_circ_0049116,hsa-miR-4433b-3p
hsa_circ_0022342,hsa-miR-7111-5p
hsa_circ_0081146,hsa-miR-3065-3p
hsa_circ_0044529,hsa-miR-593-5p
hsa_circ_0044520,hsa-miR-3065-3p
hsa_circ_0044516,hsa-miR-1286
hsa_circ_0044520,hsa-miR-1286
hsa_circ_0049116,hsa-miR-4659a-3p
hsa_circ_0050102,hsa-miR-4775
hsa_circ_0001946,hsa-miR-3156-5p
hsa_circ_0044516,hsa-miR-6836-5p
hsa_circ_0022342,hsa-miR-4728-5p
hsa_circ_0050102,hsa-miR-1827
hsa_circ_0000215,hsa-miR-374a-5p
hsa_circ_0049116,hsa-miR-647
hsa_circ_0049116,hsa-miR-4659b-3p
hsa_circ_0044529,hsa-miR-328-5p
hsa_circ_0050102,hsa-miR-3187-5p
hsa_circ_0007379,hsa-miR-1273h-5p
hsa_circ_0044529,hsa-miR-6762-5p
hsa_circ_0049116,hsa-miR-3198
hsa_circ_0000388,hsa-miR-1827
hsa_circ_0050102,hsa-miR-5189-5p
hsa_circ_0000215,hsa-miR-5692c
hsa_circ_0091822,hsa-miR-939-3p
hsa_circ_0007379,hsa-miR-4656
hsa_circ_0000527,hsa-miR-6756-5p
hsa_circ_0001946,hsa-miR-139-3p
hsa_circ_0049116,hsa-miR-24-3p
hsa_circ_0044529,hsa-miR-615-5p
hsa_circ_0081143,hsa-miR-4726-5p
hsa_circ_0044520,hsa-miR-615-5p
hsa_circ_0081143,hsa-miR-1286
hsa_circ_0081143,hsa-miR-214-3p
hsa_circ_0081143,hsa-miR-29a-3p
hsa_circ_0081146,hsa-miR-29a-3p
hsa_circ_0049116,hsa-miR-873-3p
hsa_circ_0000388,hsa-miR-6720-5p
hsa_circ_0000215,hsa-miR-2054
hsa_circ_0081108,hsa-miR-29c-3p
hsa_circ_0000215,hsa-miR-3171
hsa_circ_0000215,hsa-miR-655-3p
hsa_circ_0044529,hsa-miR-6845-5p
hsa_circ_0071662,hsa-miR-4679
hsa_circ_0049116,hsa-miR-3137
hsa_circ_0081146,hsa-miR-3619-5p
hsa_circ_0050102,hsa-miR-20b-3p
hsa_circ_0001666,hsa-miR-3127-5p
hsa_circ_0078767,hsa-miR-3127-5p
hsa_circ_0044516,hsa-miR-6895-5p
hsa_circ_0000215,hsa-miR-374b-5p
hsa_circ_0049116,hsa-miR-622
hsa_circ_0000388,hsa-miR-619-5p
hsa_circ_0054633,hsa-miR-619-5p
hsa_circ_0002171,hsa-miR-619-5p
hsa_circ_0000218,hsa-miR-139-3p
hsa_circ_0000554,hsa-miR-139-3p
hsa_circ_0000554,hsa-miR-339-5p
hsa_circ_0000592,hsa-miR-139-3p
hsa_circ_0000592,hsa-miR-367-3p
hsa_circ_0000592,hsa-miR-33a-3p
hsa_circ_0000673,hsa-miR-532-5p
hsa_circ_0000735,hsa-miR-1179
hsa_circ_0000735,hsa-miR-1182
hsa_circ_0000977,hsa-miR-874-3p
hsa_circ_0001098,hsa-miR-3942-3p
hsa_circ_0001098,hsa-miR-4760-3p
hsa_circ_0001429,hsa-miR-205-5p
hsa_circ_0001649,hsa-miR-127-5p
hsa_circ_0001649,hsa-miR-612
hsa_circ_0001649,hsa-miR-4688
hsa_circ_0001658,hsa-miR-382-5p
hsa_circ_0001727,hsa-miR-330-5p
hsa_circ_0001742,hsa-miR-431-5p
hsa_circ_0001785,hsa-miR-1200
hsa_circ_0001801,hsa-miR-628-5p
hsa_circ_0001897,hsa-miR-150-5p
hsa_circ_0001955,hsa-miR-516a-5p
hsa_circ_0002211,hsa-miR-31-5p
hsa_circ_0003258,hsa-miR-502-5p
hsa_circ_0003645,hsa-miR-1179
hsa_circ_0004214,hsa-miR-485-5p
hsa_circ_0004390,hsa-miR-198
hsa_circ_0005027,hsa-miR-548c-3p
hsa_circ_0005230,hsa-miR-618
hsa_circ_0005273,hsa-miR-1183
hsa_circ_0005576,hsa-miR-153-3p
hsa_circ_0006848,hsa-miR-329-5p
hsa_circ_0006916,hsa-miR-522-3p
hsa_circ_0006990,hsa-miR-101-3p
hsa_circ_0007334,hsa-miR-577
hsa_circ_0007334,hsa-miR-144-3p
hsa_circ_0007534,hsa-miR-892b
hsa_circ_0007915,hsa-miR-106a-3p
hsa_circ_0008106,hsa-miR-16-5p
hsa_circ_0008287,hsa-miR-548c-3p
hsa_circ_0008309,hsa-miR-1290
hsa_circ_0008309,hsa-miR-136-5p
hsa_circ_0008309,hsa-miR-382-5p
hsa_circ_0008450,hsa-miR-548p
hsa_circ_0008792,hsa-miR-711
hsa_circ_0009910,hsa-miR-335-5p
hsa_circ_0012129,hsa-miR-661
hsa_circ_0012342,hsa-miR-107
hsa_circ_0012342,hsa-miR-214-3p
hsa_circ_0015278,hsa-miR-141-3p
hsa_circ_0015278,hsa-miR-200a-3p
hsa_circ_0018069,hsa-miR-23c
hsa_circ_0018069,hsa-miR-34a-5p
hsa_circ_0018069,hsa-miR-181b-5p
hsa_circ_0018069,hsa-miR-3666
hsa_circ_0018069,hsa-miR-454-3p
hsa_circ_0001895,hsa-miR-296-5p
hsa_circ_0021093,hsa-miR-766-3p
hsa_circ_0023404,hsa-miR-5047
hsa_circ_0025036,hsa-miR-198
hsa_circ_0026134,hsa-miR-1256
hsa_circ_0027599,hsa-miR-101-3p
hsa_circ_0030235,hsa-miR-1253
hsa_circ_0030235,hsa-miR-1294
hsa_circ_0033550,hsa-miR-942-5p
hsa_circ_0039569,hsa-miR-542-3p
hsa_circ_0043949,hsa-miR-7161-3p
hsa_circ_0043949,hsa-miR-6783-3p
hsa_circ_0043949,hsa-miR-1257
hsa_circ_0043949,hsa-miR-140-3p
hsa_circ_0043949,hsa-miR-5195-3p
hsa_circ_0004662,hsa-miR-4520-2-3p
hsa_circ_0004662,hsa-miR-208b-5p
hsa_circ_0004662,hsa-miR-4713-5p
hsa_circ_0004662,hsa-miR-4659b-3p
hsa_circ_0056618,hsa-miR-206
hsa_circ_0058063,hsa-miR-145-5p
hsa_circ_0058092,hsa-miR-4269
hsa_circ_0060456,hsa-miR-16-5p
hsa_circ_0071410,hsa-miR-9-5p
hsa_circ_0071589,hsa-miR-600
hsa_circ_0071662,hsa-miR-146b-3p
hsa_circ_0072083,hsa-miR-545-3p
hsa_circ_0074027,hsa-miR-185-3p
hsa_circ_0076305,hsa-miR-296-5p
hsa_circ_0078767,hsa-miR-330-3p
hsa_circ_0079993,hsa-miR-203a-3p
hsa_circ_0008068,hsa-miR-145-3p
hsa_circ_0081143,hsa-miR-646
hsa_circ_0084043,hsa-miR-429
hsa_circ_0091579,hsa-miR-490-3p
hsa_circ_0102049,hsa-miR-1304-5p
hsa_circ_0136666,hsa-miR-1299
hsa_circ_0137606,hsa-miR-1231
hsa_circ_0081069,hsa-miR-665
hsa_circ_0103809,hsa-miR-620
hsa_circ_0103809,hsa-miR-4302
