0,hsa_circ_0000005
1,hsa_circ_0000006
2,hsa_circ_0000013
3,hsa_circ_0000034
4,hsa_circ_0000039
5,hsa_circ_0000043
6,hsa_circ_0000073
7,hsa_circ_0000080
8,hsa_circ_0000092
9,hsa_circ_0000096
10,hsa_circ_0000142
11,hsa_circ_0000144
12,hsa_circ_0000147
13,hsa_circ_0000177
14,hsa_circ_0000190
15,hsa_circ_0000199
16,hsa_circ_0000215
17,hsa_circ_0000218
18,hsa_circ_0000231
19,hsa_circ_0000234
20,hsa_circ_0000254
21,hsa_circ_0000260
22,hsa_circ_0000263
23,hsa_circ_0000267
24,hsa_circ_0000274
25,hsa_circ_0000284
26,hsa_circ_0000285
27,hsa_circ_0000291
28,hsa_circ_0000320
29,hsa_circ_0000326
30,hsa_circ_0000328
31,hsa_circ_0000337
32,hsa_circ_0000370
33,hsa_circ_0000372
34,hsa_circ_0000376
35,hsa_circ_0000388
36,hsa_circ_0000408
37,hsa_circ_0000426
38,hsa_circ_0000448
39,hsa_circ_0000488
40,hsa_circ_0000495
41,hsa_circ_0000512
42,hsa_circ_0000515
43,hsa_circ_0000517
44,hsa_circ_0000527
45,hsa_circ_0000554
46,hsa_circ_0000567
47,hsa_circ_0000592
48,hsa_circ_0000615
49,hsa_circ_0000654
50,hsa_circ_0000657
51,hsa_circ_0000673
52,hsa_circ_0000677
53,hsa_circ_0000707
54,hsa_circ_0000714
55,hsa_circ_0000735
56,hsa_circ_0000740
57,hsa_circ_0000799
58,hsa_circ_0000907
59,hsa_circ_0000936
60,hsa_circ_0000944
61,hsa_circ_0000977
62,hsa_circ_0000993
63,hsa_circ_0001038
64,hsa_circ_0001073
65,hsa_circ_0001098
66,hsa_circ_0001178
67,hsa_circ_0001206
68,hsa_circ_0001313
69,hsa_circ_0001346
70,hsa_circ_0001361
71,hsa_circ_0001368
72,hsa_circ_0001380
73,hsa_circ_0001386
74,hsa_circ_0001387
75,hsa_circ_0001417
76,hsa_circ_0001429
77,hsa_circ_0001445
78,hsa_circ_0001449
79,hsa_circ_0001451
80,hsa_circ_0001495
81,hsa_circ_0001543
82,hsa_circ_0001546
83,hsa_circ_0001564
84,hsa_circ_0001568
85,hsa_circ_0001588
86,hsa_circ_0001610
87,hsa_circ_0001627
88,hsa_circ_0001649
89,hsa_circ_0001658
90,hsa_circ_0001666
91,hsa_circ_0001667
92,hsa_circ_0001681
93,hsa_circ_0001714
94,hsa_circ_0001721
95,hsa_circ_0001725
96,hsa_circ_0001727
97,hsa_circ_0001742
98,hsa_circ_0001766
99,hsa_circ_0001785
100,hsa_circ_0001801
101,hsa_circ_0001806
102,hsa_circ_0001821
103,hsa_circ_0001829
104,hsa_circ_0001839
105,hsa_circ_0001846
106,hsa_circ_0001859
107,hsa_circ_0001895
108,hsa_circ_0001897
109,hsa_circ_0001900
110,hsa_circ_0001946
111,hsa_circ_0001955
112,hsa_circ_0001978
113,hsa_circ_0001982
114,hsa_circ_0002018
115,hsa_circ_0002024
116,hsa_circ_0002052
117,hsa_circ_0002137
118,hsa_circ_0002142
119,hsa_circ_0002162
120,hsa_circ_0002171
121,hsa_circ_0002185
122,hsa_circ_0002194
123,hsa_circ_0002211
124,hsa_circ_0002320
125,hsa_circ_0002360
126,hsa_circ_0002375
127,hsa_circ_0002453
128,hsa_circ_0002483
129,hsa_circ_0002570
130,hsa_circ_0002577
131,hsa_circ_0002623
132,hsa_circ_0002755
133,hsa_circ_0003028
134,hsa_circ_0003141
135,hsa_circ_0003159
136,hsa_circ_0003204
137,hsa_circ_0003258
138,hsa_circ_0003288
139,hsa_circ_0003340
140,hsa_circ_0003489
141,hsa_circ_0003506
142,hsa_circ_0003645
143,hsa_circ_0003738
144,hsa_circ_0003855
145,hsa_circ_0003949
146,hsa_circ_0003998
147,hsa_circ_0004015
148,hsa_circ_0004018
149,hsa_circ_0004058
150,hsa_circ_0004104
151,hsa_circ_0004214
152,hsa_circ_0004277
153,hsa_circ_0004339
154,hsa_circ_0004370
155,hsa_circ_0004390
156,hsa_circ_0004442
157,hsa_circ_0004458
158,hsa_circ_0004662
159,hsa_circ_0004680
160,hsa_circ_0004771
161,hsa_circ_0004798
162,hsa_circ_0004812
163,hsa_circ_0004846
164,hsa_circ_0005015
165,hsa_circ_0005027
166,hsa_circ_0005035
167,hsa_circ_0005100
168,hsa_circ_0005114
169,hsa_circ_0005198
170,hsa_circ_0005224
171,hsa_circ_0005230
172,hsa_circ_0005239
173,hsa_circ_0005273
174,hsa_circ_0005320
175,hsa_circ_0005394
176,hsa_circ_0005397
177,hsa_circ_0005556
178,hsa_circ_0005576
179,hsa_circ_0005615
180,hsa_circ_0005728
181,hsa_circ_0005758
182,hsa_circ_0005785
183,hsa_circ_0005795
184,hsa_circ_0005875
185,hsa_circ_0005909
186,hsa_circ_0005986
187,hsa_circ_0006117
188,hsa_circ_0006156
189,hsa_circ_0006168
190,hsa_circ_0006215
191,hsa_circ_0006220
192,hsa_circ_0006323
193,hsa_circ_0006404
194,hsa_circ_0006427
195,hsa_circ_0006459
196,hsa_circ_0006528
197,hsa_circ_0006772
198,hsa_circ_0006835
199,hsa_circ_0006848
200,hsa_circ_0006859
201,hsa_circ_0006872
202,hsa_circ_0006916
203,hsa_circ_0006948
204,hsa_circ_0006990
205,hsa_circ_0007031
206,hsa_circ_0007121
207,hsa_circ_0007142
208,hsa_circ_0007158
209,hsa_circ_0007255
210,hsa_circ_0007294
211,hsa_circ_0007334
212,hsa_circ_0007364
213,hsa_circ_0007379
214,hsa_circ_0007385
215,hsa_circ_0007444
216,hsa_circ_0007534
217,hsa_circ_0007623
